pc, target_address, target_apiname
0x00000001400022d8,0x0000000140002770,none
0x00000001400020dc,0x00000001400024dc,none
0x00000001400024eb,0x0000000140002dc4,none
0x00000001400024f0,0x0000000140002850,none
0x00000001400024fd,0x0000000140002850,none
0x00000001400020f1,0x0000000140002370,none
0x0000000140002374,0x000000014000305c,none
0x0000000140002123,0x00000001400030d6,none
0x0000000140001fdb,0x00000001400030b2,none
0x0000000140001fe0,0x000000014000282c,none
0x0000000140001fe7,0x00000001400030e2,none
0x0000000140001fec,0x0000000140002820,none
0x0000000140001ff3,0x0000000140003112,none
0x0000000140001fff,0x0000000140002518,none
0x000000014000252e,0x000000014000305c,none
0x0000000140002008,0x0000000140002afc,none
0x0000000140002014,0x00000001400026e8,none
0x00000001400026ec,0x000000014000268c,none
0x000000014000269f,0x0000000140003130,none
0x0000000140002019,0x0000000140002824,none
0x0000000140002020,0x00000001400030be,none
0x0000000140002029,0x0000000140002834,none
0x000000014000202e,0x000000014000287c,none
0x0000000140002043,0x0000000140002854,none
0x0000000140002048,0x0000000140002854,none
0x000000014000204d,0x0000000140002820,none
0x0000000140002054,0x0000000140003106,none
0x0000000140002059,0x0000000140002850,none
0x0000000140002062,0x00000001400030c4,none
0x0000000140002067,0x0000000140002820,none
0x000000014000206c,0x0000000140002a2c,none
0x000000014000208c,0x0000000140002860,none
0x0000000140002864,0x0000000140001890,none
0x000000014000286d,0x0000000140002858,none
0x0000000140002144,0x00000001400030d0,none
0x000000014000209c,0x0000000140002a88,none
0x00000001400020a1,0x0000000140002820,none
0x000000014000215f,0x000000014000263c,none
0x0000000140002644,0x000000014000305c,none
0x0000000140002164,0x0000000140002888,none
0x0000000140002190,0x0000000140002890,none
0x00000001400021b2,0x00000001400030ca,none
0x00000001400021ba,0x00000001400030ee,none
0x00000001400021c2,0x00000001400030e8,none
0x00000001400021cf,0x00000001400018f0,none
0x00000001400018f7,0x0000000140001f80,none
0x00000001400018ff,0x00007ff98df236e0,GetCurrentProcessId
0x0000000140001914,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x000000014000192e,0x00000001400011b0,none
0x0000000140001945,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001956,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001966,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x000000014000197d,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001999,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400019f6,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001a46,0x00007ff98df3d9a0,IsDebuggerPresent
0x0000000140001a66,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001a6c,0x00007ff98df23510,GetCurrentThread
0x0000000140001a8f,0x00007ff98df3c6f0,GetThreadContext
0x0000000140001aac,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001ac0,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001ad4,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001ae8,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001afc,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001b10,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001b58,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001ba0,0x0000000140001800,none
0x0000000140001bf1,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c18,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c1e,0x0000000140001000,none
0x000000014000103e,0x0000000140001190,none
0x000000014000119b,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001070,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001075,0x0000000140001e50,none
0x0000000140001094,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001099,0x0000000140001e50,none
0x00000001400010b1,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400010c2,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400010e7,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400010f8,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c2a,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c2f,0x00000001400017c0,none
0x0000000140001c3d,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c42,0x00000001400017c0,none
0x0000000140001c50,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c55,0x00000001400017c0,none
0x0000000140001c63,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c68,0x0000000140001260,none
0x0000000140001283,0x00007ff98df33c90,VirtualAlloc
0x00000001400012c6,0x0000000140001830,none
0x00000001400012d2,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400012d7,0x0000000000ea0000,none
0x0000000140001c74,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001c98,0x00007ff98df382f0,VirtualQuery
0x0000000140001cde,0x00007ff98df382b0,VirtualProtect
0x0000000140001d08,0x0000000140001e5b,none
0x0000000140001e82,0x0000000140001e53,none
0x0000000140001d19,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d1e,0x0000000140001e5b,none
0x0000000140001d2f,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d3b,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d71,0x0000000140001110,none
0x0000000140001d85,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001d92,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001da5,0x00000001400012f0,none
0x000000014000137f,0x00007ff9846058b0,WinHttpOpen
0x00000001400013d4,0x00007ff984628630,WinHttpConnect
0x0000000140001438,0x00007ff98463f370,WinHttpOpenRequest
0x0000000140001496,0x00007ff984602a70,WinHttpSendRequest
0x00000001400014d3,0x00007ff9845f6a60,WinHttpReceiveResponse
0x000000014000151d,0x0000000140001770,none
0x00000001400017ab,0x00007ff984600590,WinHttpQueryHeaders
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x0000000140001550,0x00007ff984628c60,WinHttpQueryDataAvailable
0x0000000140001570,0x00007ff98d0a5e00,malloc
0x00000001400015c2,0x00007ff9845f1740,WinHttpReadData
0x000000014000169f,0x00007ff98d0a5de0,free
0x000000014000170e,0x00007ff984608e50,WinHttpCloseHandle
0x0000000140001722,0x00007ff984608e50,WinHttpCloseHandle
0x000000014000173c,0x00007ff984608e50,WinHttpCloseHandle
0x0000000140001db5,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x0000000140001dd1,0x0000000140001df0,none
0x0000000140001e17,0x00007ff98d1022a0,__acrt_iob_func
0x0000000140001e2d,0x00000001400018a0,none
0x00000001400018b8,0x0000000140001890,none
0x00000001400018d9,0x00007ff98d0c4620,__stdio_common_vfprintf
0x00000001400021d6,0x0000000140002a34,none
0x0000000140002a3a,0x00007ff98df3b450,GetModuleHandleW
0x0000000140002236,0x000000014000309a,none
